SERVICE_NAME,SERVICE_CODE,DESCRIPTION,REQUESTED_DATETIME,ADDRESS,LATITUDE,LONGITUDE
"""Dead animal""","""DAPUB1""","""dead deer - by save alot Called states that it is by the sidewalk ... I advised called we could not go on private property to get he states that it is on sidewalk """,2019-12-16T11:39:00Z,"""HARRISON AV & MCHENRY AV - GJ0908435179 """,39.1407056461126,-84.5807587969452
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-28T10:35:00Z,"""3279 LINWOOD AV, CINC - GJ2240434003""",39.1268253462716,-84.4271536924558
"""Dead animal""","""DAPUB1""","""DEAD RACCOON IN STREET""",2019-10-28T11:06:00Z,"""3462 VINE ST - GJ1511035745 """,39.1443356934899,-84.5109148984404
"""Dead animal""","""DAPUB1""","""DEAD  RACCOON""",2019-10-28T09:04:00Z,"""7138 RIVER RD - FJ9871332835 """,39.1220353819062,-84.7013496082189
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-25T17:47:00Z,"""1176 CORONADO AV, CINC - GJ0742932470""",39.1167214031557,-84.6007050861065
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-25T00:57:00Z,"""663 RIDDLE RD, CINC - GJ1355934761""",39.1358669915545,-84.5291404095493
"""Dead animal""","""DAPUB1""","""DEAD RACCOON""",2019-10-28T09:11:00Z,"""BANK ST & KINDEL AV - GJ1336732949 """,39.1195980124442,-84.531939227305
"""Dead animal""","""DAPUB1""","""COLLECTED DEAD DEER""",2020-03-17T09:41:00Z,"""MCFARLAN WOODS DR & WESTWOOD NORTHERN BLVD - GJ0818036569 """,39.1534444315204,-84.5907760766327
"""Dead animal""","""DAPUB1""","""DEAD  RACCOON""",2019-10-28T09:04:00Z,"""3984 RIVER RD - GJ0700528023 """,39.0767763623166,-84.6069754261359
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-03-25T10:04:00Z,"""4815 WHETSEL AV, CINC - GJ2521437664""",39.159061309939,-84.3934683807266
"""Dead animal""","""DAPUB1""","""DEAD POSSUM IN MIDDLE OF STREET """,2019-03-25T09:06:00Z,"""1238 1ST AV - GJ0932832390 """,39.1155427433912,-84.5787980812984
"""Dead animal""","""DAPUB1""","""DEAD ANIMAL""",2019-10-25T08:59:00Z,"""4695 RAPID RUN RD - GJ0799231928 """,39.1117028162763,-84.5943824836393
"""Dead animal""","""DAPUB1""","""DEAD RACCOON""",2019-10-28T12:32:00Z,"""VINE ST & JUERGENS AV - GJ1517036474 """,39.1508881013074,-84.5099842341293
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-03-25T11:10:00Z,"""1255 HOLLYWOOD AV, CINC - GJ1263042737""",39.2079046561488,-84.5373778517667
"""Dead animal""","""DAPUB1""","""Per 882, collected dead deer from the road""",2019-10-28T11:34:00Z,"""2399 HARRISON AV - GJ0920534993 """,39.1390049800162,-84.5794177293548
"""Dead animal""","""DAPUB1""","""DEAD DEER""",2019-10-28T09:13:00Z,"""RED BANK EXWY & HETZEL ST - GJ2412337516 PRIVATE STREET""",39.1580080092726,-84.4061315952793
"""Dead animal""","""DAPUB1""","""DEAD DEER COLLECTED""",2020-03-17T09:40:00Z,"""3424 BEEKMAN ST - GJ1166036364 """,39.1507536706583,-84.5505990240879
"""Dead animal""","""DAPUB1""","""2 DEAD DOGS""",2019-10-25T10:08:00Z,"""2818 GLENWAY AV - GJ1122032126 """,39.1127127174946,-84.5570128526197
"""Dead animal""","""DAPUB1""","""DEAD RACCOON AT CURB""",2019-03-25T12:51:00Z,"""6405 MEIS AV - GJ1127742867 """,39.2093951761032,-84.5530029715756
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-25T17:56:00Z,"""2121 SPRING GROVE AV, CINC - """,39.1208780149403,-84.5367781497971
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-25T12:56:00Z,"""3018 HARRISON AV, CINC - """,39.148650104029,-84.5981779517256
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-28T11:19:00Z,"""2650 LEHMAN RD, CINC - """,39.1174053180925,-84.550557423431
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-24T14:33:00Z,"""3008 LOSANTIVILLE AV, CINC - GJ2195940360""",39.1841691268334,-84.4301979504755
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-25T16:06:00Z,"""7501 GRACELY DR, CINC - FJ9829033715""",39.1298488661352,-84.7061289899711
"""Dead animal""","""DAPUB1""","""DEAD CAT AT CORNER OF FLORIDA & CHASE""",2019-10-29T12:34:00Z,"""FLORIDA AV & CHASE AV - GJ1180337920 """,39.1647264939959,-84.5484595827485
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-29T09:02:00Z,"""502 HAWTHORNE AV, CINC - GJ1077130629""",39.0993473385495,-84.5626596772761
"""Dead animal""","""DAPUB1""","""UNIDENTIFIED DEAD ANIMAL ON SIDEWALK AT SCHOOL BUS STOP AT CORNER OF CEDAR AND LANTANA""",2019-03-26T16:23:00Z,"""CEDAR AV & LANTANA AV - GJ1225341661 """,39.1982975333172,-84.5420899964105
"""Dead animal""","""DAPUB1""","""DEAD DEER AT MITCHELL & SPRING GROVE """,2019-03-27T07:42:00Z,"""SPRING GROVE AV & W MITCHELL AV - GJ1479138176 """,39.1663052567836,-84.513826057674
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-10-29T11:21:00Z,"""3908 W 8TH ST, CINC - GJ0926031426""",39.1068859685933,-84.5798782160868
"""Dead animal""","""DAPUB1""","""DEAD DOG IN BOX AT THE CURB""",2020-03-18T13:21:00Z,"""4020 HEYWARD ST - GJ0924833147 """,39.122377196608,-84.5794831375246
"""Dead animal""","""DAPUB1""","""Dead Animal""",2020-03-19T08:40:00Z,"""3160 BOUDINOT AV - GJ0710635352 """,39.1427409546966,-84.603573955085
